anio,region_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2013,Patagonia,GC1,2173,5217138,58.1665749218428,55.7169926272569,60.6951392925992
2014,Patagonia,GC1,2244,5310246,58.0568010536979,55.6541237982544,60.535691099186
2015,Patagonia,GC1,2304,5402766,57.8435275193983,55.483633731814,60.2772790409716
2016,Patagonia,GC1,2170,5494722,52.5839741407049,50.3755113477251,54.8636946506401
2017,Patagonia,GC1,2293,5586152,53.5251678931308,51.3398038003017,55.7790941330947
2018,Patagonia,GC1,2461,5676964,55.6118408573939,53.4220972573269,57.8678580206726
2019,Patagonia,GC1,2709,5767084,59.0550733691896,56.8398367033805,61.3341628695252
2020,Patagonia,GC1,2532,5856438,52.9951538300362,50.9409098093009,55.1106781844254
2021,Patagonia,GC1,2936,5945082,59.1552324769983,57.025935345943,61.343448088525
2022,Patagonia,GC1,2957,6033078,57.6537143026408,55.5876060489137,59.776786126821
2023,Patagonia,GC1,2592,6120372,48.6034283629406,46.7454077955645,50.516219986572
2010,Patagonia,GC2,1037,4935522,31.7008971492352,29.77582481377,33.7165355733337
2011,Patagonia,GC2,1121,5029662,32.7661898271654,30.8510806789487,34.767870130639
2012,Patagonia,GC2,1024,5123570,28.8626569913225,27.0998919006539,30.7088906357616
2013,Patagonia,GC2,996,5217138,26.6897855655751,25.0375584212998,28.4213678384517
2014,Patagonia,GC2,1043,5310246,27.097088854025,25.4589688034322,28.8120475008065
2015,Patagonia,GC2,1022,5402766,25.7593698580848,24.1888808837632,27.4042975415676
2016,Patagonia,GC2,850,5494722,20.4641166890593,19.0980198812979,21.9013913281761
2017,Patagonia,GC2,885,5586152,20.6698176994664,19.3188816188152,22.0896967569404
2018,Patagonia,GC2,949,5676964,21.2637571967792,19.92163587929,22.6719587676093
2019,Patagonia,GC2,854,5767084,18.7313785517111,17.4889626201737,20.038372090652
2020,Patagonia,GC2,1013,5856438,21.3365763487563,20.0360566204676,22.699018986077
2021,Patagonia,GC2,1048,5945082,21.2524628899695,19.9798270314364,22.5846475241376
2022,Patagonia,GC2,1110,6033078,21.7948493816151,20.5275922369284,23.1196821558238
2023,Patagonia,GC2,1070,6120372,20.3165075831163,19.1147274833647,21.5739252253131
2010,Patagonia,GC3,1091,4935522,31.8810913391021,29.9886915020201,33.8602331499513
2011,Patagonia,GC3,1110,5029662,31.3193811676122,29.4777269077156,33.2447077933107
2012,Patagonia,GC3,1033,5123570,28.0932247010017,26.3838761409779,29.8831500494493
2013,Patagonia,GC3,1114,5217138,29.4171407955987,27.6949986618834,31.2173813925848
2014,Patagonia,GC3,1190,5310246,29.9537649372265,28.2560847746398,31.72587538906
2015,Patagonia,GC3,1270,5402766,31.063617262258,29.3612937995588,32.8381303562653
2016,Patagonia,GC3,1404,5494722,33.4855749464756,31.740994188479,35.3004386598306
2017,Patagonia,GC3,1136,5586152,26.0624280247954,24.5569794278756,27.6354675323831
