anio,region_deis,jurisd_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2012,Centro,Entre Ríos,GC3,681,2563862,28.951537170664,26.8150670795595,31.212785667954
2013,Centro,Entre Ríos,GC3,629,2590242,26.3044445568894,24.2869288571157,28.4447226736955
2014,Centro,Entre Ríos,GC3,667,2616580,27.1261071880032,25.1039608055209,29.2676275126045
2015,Centro,Entre Ríos,GC3,735,2642830,29.2773694764938,27.1969579048867,31.4745982006968
2016,Centro,Entre Ríos,GC3,695,2668978,27.1644001767719,25.1807029580793,29.2627436412751
2017,Centro,Entre Ríos,GC3,659,2695016,25.2257198975215,23.3351995092548,27.2285410420396
2018,Centro,Entre Ríos,GC3,675,2720886,25.2408895646335,23.3712959296201,27.2201745895634
2019,Centro,Entre Ríos,GC3,686,2746540,25.0494670705625,23.2085726763406,26.99747213668
2020,Centro,Entre Ríos,GC3,668,2771922,23.9245040846457,22.1430340492148,25.8110588806952
2021,Centro,Entre Ríos,GC3,678,2797020,23.7803827482228,22.0221422780074,25.6415456439931
2022,Centro,Entre Ríos,GC3,711,2821816,24.2291792001023,22.4783375063255,26.0800289055653
2023,Centro,Entre Ríos,GC3,581,2846272,19.5133919983099,17.955723725059,21.1698111033109
2010,Centro,Entre Ríos,GC4,1469,2511148,65.777954314955,62.4547788019737,69.2319488300416
2011,Centro,Entre Ríos,GC4,1504,2537488,65.8530962561927,62.5642476089462,69.26986505562
2012,Centro,Entre Ríos,GC4,1398,2563862,59.8107579623466,56.7139457031398,63.0326031175921
2013,Centro,Entre Ríos,GC4,1423,2590242,59.4600181666406,56.4084498556168,62.6336818081773
2014,Centro,Entre Ríos,GC4,1268,2616580,51.6897624350283,48.8819630894067,54.6167268506752
2015,Centro,Entre Ríos,GC4,1297,2642830,51.7188020385719,48.9405645038819,54.6135939844382
2016,Centro,Entre Ríos,GC4,1535,2668978,59.8177127964019,56.8609240376481,62.8883144079819
2017,Centro,Entre Ríos,GC4,1415,2695016,53.8622769048737,51.090710069852,56.7450559237361
2018,Centro,Entre Ríos,GC4,1549,2720886,57.5214281503704,54.6910833384939,60.4602149343206
2019,Centro,Entre Ríos,GC4,1577,2746540,57.2060037235245,54.4156107149808,60.102334811427
2020,Centro,Entre Ríos,GC4,1482,2771922,52.5130919335044,49.8713364144351,55.2583749856284
2021,Centro,Entre Ríos,GC4,1393,2797020,48.2521747324265,45.7488390221263,50.8567671326572
2022,Centro,Entre Ríos,GC4,1801,2821816,60.4401157366037,57.6772244119188,63.3010304560827
2023,Centro,Entre Ríos,GC4,1491,2846272,48.8562114359305,46.4033527391768,51.4048982397816
2010,Centro,Santa Fe,GC1,6593,6515814,96.6158170956683,94.2884318966388,98.9859608653971
2011,Centro,Santa Fe,GC1,7148,6570816,103.138263236091,100.750485999075,105.568154187283
2012,Centro,Santa Fe,GC1,6871,6626424,97.8598271498303,95.5488480741462,100.21238698974
2013,Centro,Santa Fe,GC1,6869,6682456,96.5302204412485,94.2499427442423,98.8515325335185
2014,Centro,Santa Fe,GC1,5988,6738730,82.7776060938801,80.6842573961731,84.9113299550282
2015,Centro,Santa Fe,GC1,6252,6795064,85.3277074523308,83.215222252493,87.4800583310949
2016,Centro,Santa Fe,GC1,7484,6851312,100.280927429281,98.0108534317926,102.59012144941
2017,Centro,Santa Fe,GC1,7044,6907348,92.7952716980292,90.6306171453373,94.9983882668248
2018,Centro,Santa Fe,GC1,7347,6963028,95.1872911892489,93.012777524882,97.3996292020156
2019,Centro,Santa Fe,GC1,7757,7018226,98.936538730372,96.7366517817057,101.173656794883
2020,Centro,Santa Fe,GC1,7602,7072836,95.3666277494277,93.2243638125089,97.5455188097074
2021,Centro,Santa Fe,GC1,8593,7126780,106.199355418304,103.954361882922,108.480431130961
2022,Centro,Santa Fe,GC1,9398,7179998,113.284174339505,110.993484868018,115.610054653391
2023,Centro,Santa Fe,GC1,8714,7232454,103.3478852875,101.177065126984,105.553350262721
2010,Centro,Santa Fe,GC2,2339,6515814,34.1744711348631,32.7974285691515,35.5942819014937
2011,Centro,Santa Fe,GC2,2264,6570816,32.5148457233319,31.1837913866817,33.8879308889235
2012,Centro,Santa Fe,GC2,2149,6626424,30.4463902501481,29.1667449748877,31.7675290712911
2013,Centro,Santa Fe,GC2,2188,6682456,30.6997326978912,29.4207339673902,32.0198261882479
2014,Centro,Santa Fe,GC2,1948,6738730,26.6066664747617,25.4324719731167,27.8208871051829
2015,Centro,Santa Fe,GC2,1915,6795064,25.7715163943845,24.6244856101337,26.9579891254555
2016,Centro,Santa Fe,GC2,2001,6851312,26.5477333301341,25.3915592726916,27.7427840960948
2017,Centro,Santa Fe,GC2,1901,6907348,24.9945088531804,23.8781486840403,26.1494000881765
2018,Centro,Santa Fe,GC2,1798,6963028,23.2207283395844,22.1544168813723,24.3249031503679
2019,Centro,Santa Fe,GC2,1756,7018226,22.3461271145715,21.3078942560285,23.4216731993559
2020,Centro,Santa Fe,GC2,1899,7072836,23.667705705333,22.6096331490084,24.7623171257281
2021,Centro,Santa Fe,GC2,2126,7126780,26.2423577943347,25.1323510751385,27.3885550331602
2022,Centro,Santa Fe,GC2,1950,7179998,23.218338286727,22.1935004475228,24.2780927064324
2023,Centro,Santa Fe,GC2,1658,7232454,19.4678554828473,18.5364004943243,20.4337810824317
2010,Centro,Santa Fe,GC3,2527,6515814,37.4050763808331,35.9548329301182,38.898625651789
2011,Centro,Santa Fe,GC3,2217,6570816,32.3052441966431,30.9684277139751,33.6847263615052
2012,Centro,Santa Fe,GC3,2364,6626424,34.0314480745921,32.6671290882307,35.4379116338389
2013,Centro,Santa Fe,GC3,2488,6682456,35.2323866178073,33.8547261006458,36.6515120340643
2014,Centro,Santa Fe,GC3,2488,6738730,34.7160454957439,33.358750712777,36.1141922088616
2015,Centro,Santa Fe,GC3,2444,6795064,33.4569445704629,32.1370292490882,34.8169487228912
2016,Centro,Santa Fe,GC3,2714,6851312,36.7127610401844,35.337863596165,38.1272519569998
2017,Centro,Santa Fe,GC3,2507,6907348,33.4088113599062,32.1076336566223,34.7490008443483
2018,Centro,Santa Fe,GC3,2236,6963028,29.3145284083623,28.106238260072,30.561215150306
2019,Centro,Santa Fe,GC3,2250,7018226,29.0029783941759,27.8111766591853,30.2325326987643
